Seq,DateListed,年度,類別,項目別,總計,民意代表_主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,服務及銷售工作人員,農_林_漁_牧業生產人員,技藝有關工作人員,機械設備操作及組裝人員,基層技術工及勞力工,樣本數_人,母體數_人
1,20230401,103,總計,-,100.000000000001,0.920848951583197,6.09126057324748,5.36750503485823,6.15427432902734,21.731274385821,6.46278449401531,20.3595158413207,16.0338332305189,16.878703159609,30225.5864565936,235643.104494163
2,20230401,103,行政區域,山地鄉,100,1.11283252525133,6.62034899172497,5.00412342966907,5.06338207254459,17.7972061042723,12.9910743281067,16.9891942288508,13.3995105292197,21.0223277903606,9266.37880785488,72242.8492033505
3,20230401,103,行政區域,平地原住民鄉鎮市,100,0.812159168870823,5.70606463084434,4.82790295540203,5.53832471192547,22.772881460586,8.53586697596145,23.3446599242155,10.8188404188525,17.643299753342,7541.83246706818,58796.5234332224
4,20230401,103,行政區域,非原住民鄉鎮市,100.000000000001,0.849351894327049,5.94236844195493,5.92177253360516,7.25389915918525,23.8627989775391,0.788873150423862,21.0092588360303,20.7844708597255,13.5872061472095,13417.3751816708,104603.731857593
5,20230401,103,統計區域,北部地區,100.000000000001,0.793626274153121,5.05699784032552,5.65194057267929,7.2470290360593,23.1341006323686,2.06207785704281,21.1314631585809,19.9958263269703,14.9269383018209,10340.2659074889,80614.3877711561
6,20230401,103,統計區域,北部地區_山地鄉,100,0.975683807294631,4.86911894639132,3.66685895403918,6.57306192038655,20.1016010078067,9.45604185888645,17.0829249590656,17.3050930833363,19.9696154627934,1739.99275693418,13565.0308853391
7,20230401,103,統計區域,北部地區_平地原住民鄉鎮市,100,0,7.24343836210301,4.3576604800919,0,9.62409045018139,4.79056413523994,20.0032040311133,15.0712087667917,38.9098337744788,41.4644283298387,323.188121040803
8,20230401,103,統計區域,北部地區_非原住民鄉鎮市,99.9999999999991,0.76045899485939,5.08460247324559,6.06176463307739,7.41914349504424,23.8160253811633,0.545713793637393,21.9599714737999,20.5666886761108,13.7856310790611,8558.80872222491,66726.1687647772
9,20230401,103,統計區域,中部地區,99.9999999999993,1.25522989062381,5.95498850799527,4.42764106200775,5.23829173833996,18.3107143995424,9.69347233317536,16.4358586468057,17.7735621843541,20.9102412371549,4499.23769759456,35077.4079034858
10,20230401,103,統計區域,中部地區_山地鄉,99.9999999999998,0.722302353455492,4.21809905106671,4.60336398428153,3.51021770992037,12.0524592235534,21.9484857147633,9.49043662641469,9.94522806143101,33.5094072751134,1862.30708545245,14519.310485873
11,20230401,103,統計區域,中部地區_平地原住民鄉鎮市,100,4.87834025788259,5.60904415292817,3.60498116330396,10.8586504786643,22.4091946824555,6.9751836419147,7.03502857537882,11.0417670684548,27.5878099790173,166.678523931027,1299.65724629041
12,20230401,103,統計區域,中部地區_非原住民鄉鎮市,100,1.41250839857958,7.28780913958955,4.35067741613568,6.16182984627403,22.7523477634387,0.637624655521975,22.3065623324194,24.1297903592134,10.9608500888277,2470.25208821108,19258.4401713222
13,20230401,103,統計區域,南部地區,100,0.671477841372466,7.40081265425086,5.65457267834138,6.22753905668148,20.722280309987,9.25554975267858,18.8617234045554,15.3483983552983,15.8576459468345,5858.28927827425,45671.0965057784
14,20230401,103,統計區域,南部地區_山地鄉,100,0.834257168122407,7.24346970150572,4.76404120122004,4.94738879692134,17.4535970280703,14.6637179948184,20.7594360208213,13.5359872748958,15.7981048136249,3361.26666661059,26204.8884287991
15,20230401,103,統計區域,南部地區_平地原住民鄉鎮市,100,0,6.67243377673334,2.39694532277819,13.1615670020955,24.8298519539394,4.95803158741529,16.2924821494708,9.83717422678006,21.8515139807875,119.67697237804,932.624844467869
16,20230401,103,統計區域,南部地區_非原住民鄉鎮市,100,0.475111216906699,7.65993463292353,7.07763382497652,7.68863525460849,25.1372202770514,1.82512081450119,16.3078077067956,18.188320567557,15.6402157046796,2377.34563928565,18533.5832325113
17,20230401,103,統計區域,東部地區,100,1.05434094614102,6.47289448992415,5.32614410243955,5.35584450060857,22.4444961583929,7.99599853532025,22.2955292419099,11.3338699863378,17.7208820389262,9527.79357323584,74280.2123137454
18,20230401,103,統計區域,東部地區_山地鄉,100,1.93888833231553,8.97673701452248,6.68902673869948,5.3480941734835,21.2034726467761,5.97666401422853,17.4797117079045,13.0429302728464,19.3444750992236,2302.81229885758,17953.6194033392
19,20230401,103,統計區域,東部地區_平地原住民鄉鎮市,99.9999999999999,0.736329833208345,5.68344721239457,4.89917700176505,5.32079136870995,22.8227350687627,8.65278457597447,23.8576994916859,10.8055313350193,17.2215041124795,7214.0125424293,56241.0532214234
20,20230401,103,統計區域,東部地區_非原住民鄉鎮市,100,24.4873559089905,0,0,30.0294376038403,34.2321133642501,0,5.96690970010193,0,5.28418342281715,10.9687319490853,85.5396889829327
21,20230401,103,縣市,新北市,99.9999999999993,0.63141804032406,4.47386676130541,6.1168912850531,8.3100430216223,25.2486012545672,0.65355973470387,22.972765182716,16.4758232153617,15.1170315043457,3249.64612529616,25335.113139844
22,20230401,103,縣市,臺北市,99.9999999999998,1.76861823009207,9.9225530063943,7.63552402621992,13.6220506935953,30.0574904909232,0,13.6240964237894,10.0619382494277,13.3077288795579,903.590709798563,7044.40529715423
23,20230401,103,縣市,桃園市,100,0.728009647966115,3.74013528491918,5.87913630008544,4.81896191706977,20.9007034836725,2.30047211841309,20.4620395561708,27.1872349271991,13.9833067645042,3403.97152424331,26538.4824000899
