Seq,DateListed,年度,類別,項目別,總計,未滿1年,年資1年_未滿3年,年資3年_未滿5年,年資5年_未滿7年,年資7年_未滿9年,年資9年_未滿12年,年資12年_未滿15年,年資15年及以上,平均年資_年,樣本數_人,母體數_人
102,"20230401","108","年齡","30 ~ 34歲","100","16.9614587650228","24.0886862826357","18.5462080397845","15.9055118110236","9.36842105263158","10.9970990468297","1.56319933692499","2.56941566514712","4.4769954413593","3283.77678878912","30162.5"
103,"20230401","108","年齡","35 ~ 44歲","100","14.0787052449433","17.13084737826","13.7315300220597","13.6426326783709","7.16629656592854","11.8317608624871","5.53578026625303","16.8824469816974","7.15727052839654","7439.00403212943","68337.25"
104,"20230401","108","年齡","35 ~ 39歲","100","15.1114403816461","18.952827379922","13.8727523247038","15.6764316921351","7.52490877744466","12.8625534006799","5.84032071565566","10.1587653278127","6.12389823232498","3929.64831367694","36106.75"
105,"20230401","108","年齡","40 ~ 44歲","100","12.9217666496021","15.0897441864073","13.5733234048494","11.3642357394394","6.76455531251454","10.6769984952142","5.19461379748996","24.4147624144832","8.31492291204501","3509.35571845226","32230.5"
106,"20230401","108","年齡","45 ~ 54歲","100","10.832750735854","12.0884895065659","8.86052838993806","9.27287381606544","4.77670560050586","12.0804741527103","4.19870952802925","37.8894682703312","11.5868150026644","6111.76253451712","56142.25"
107,"20230401","108","年齡","45 ~ 49歲","100","10.7606600615426","12.8275792107666","9.84428363710141","9.99306800121733","5.1702566530281","12.6864031379975","3.63000033814628","35.0877489602002","10.7397446572887","3218.31207756378","29573"
108,"20230401","108","年齡","50 ~ 54歲","100","10.9129915221544","11.2658430328293","7.76555604693396","8.47125906828382","4.33866217525899","11.4060426997375","4.8317133528421","41.00793210196","12.5296497203848","2893.45045695342","26569.25"
109,"20230401","108","年齡","55 ~ 64歲","100","10.6396045076304","9.73454724107225","7.86992968342187","7.61353517364203","4.83541621887186","10.283415727577","4.9513311020358","44.0722203457488","14.4509264874464","3546.57818491783","32567"
110,"20230401","108","年齡","55 ~ 59歲","100","11.3291247227436","10.6210544275721","7.87164550174275","7.34760036073805","4.3958856362883","10.690520876496","5.53659785019621","42.2075706242231","13.5222028582803","2234.36119679673","20513.5"
111,"20230401","108","年齡","60 ~ 64歲","100","9.46613016966026","8.22582652341644","7.86700958227901","8.0661218733148","5.58344049446219","9.59057535155764","3.95528269797154","47.2456133073381","16.0314941372492","1312.21698812113","12053.5"
112,"20230401","108","年齡","65歲及以上","100","7.19460067491564","9.67829021372328","3.81102362204724","5.71428571428571","4.99887514060742","9.04836895388076","3.95950506186727","55.5950506186727","20.8387476565429","605.697342748448","5556.25"
113,"20230401","108","教育程度","小學及以下","100","12.7437925902718","8.75172971985066","7.81311192919245","7.96976580245947","4.96331688467664","10.7595101955563","4.86801911177254","42.1307537662202","14.8756652350243","2092.76030041624","19150.5"
114,"20230401","108","教育程度","國(初)中","100","15.8814550212355","16.0335822057923","10.4100684312728","10.2548260142678","4.91324077631593","11.3145242520846","3.4184484065586","27.7738548924726","9.55947714284725","5239.9004913375","48150.5"
115,"20230401","108","教育程度","高級中等(高中、高職)","100","18.4793404625848","21.6961887752148","13.7359088904824","11.4430276009816","5.04251272709457","8.63972635076452","3.03401463560202","17.9292805572753","7.08839009862476","12218.6175160166","112260.5"
116,"20230401","108","教育程度","專科","100","13.7843176213462","20.9897032526502","13.6569231308657","10.3318100536459","6.76476432019261","8.91410806325312","5.61587639228153","19.9424971657648","7.94652207197204","2325.8369828459","21390.25"
117,"20230401","108","教育程度","大學及以上","100","20.4886623157787","28.0769132074826","16.4800574796213","11.6772587694913","5.68210005901925","6.28212914097048","2.2940527409739","9.0188262866625","5.07179838367077","6359.07282396727","58455.5"
